id,idea_id,street_address,street_address_2,city,country,postal_code,created_at,updated_at,proposal_id
89,89,,,,,,2023-08-07 16:26:13.953,2023-08-07 16:26:13.953,
90,90,,,,,,2023-08-07 16:42:13.066,2023-08-07 16:42:13.066,
91,91,,,,,,2023-08-07 16:44:57.683,2023-08-07 16:44:57.683,
92,92,,,,,,2023-08-07 16:52:32.547,2023-08-07 16:52:32.547,
93,93,,,,,,2023-08-07 17:53:54.729,2023-08-07 17:53:54.729,
94,94,,,,,,2023-08-07 17:56:36.811,2023-08-07 17:56:36.811,
95,95,,,,,,2023-08-07 19:32:18.339,2023-08-07 19:32:18.339,
96,96,,,,,,2023-08-07 19:33:38.855,2023-08-07 19:33:38.855,
97,97,,,,,,2023-08-07 19:37:18.010,2023-08-07 19:37:18.010,
98,98,,,,,,2023-08-08 16:23:39.294,2023-08-08 16:23:39.294,
99,99,,,,,,2023-08-08 16:24:17.279,2023-08-08 16:24:17.279,
100,100,,,,,,2023-08-08 16:26:04.968,2023-08-08 16:26:04.968,
101,101,,,,,,2023-08-08 16:28:13.450,2023-08-08 16:28:13.450,
102,102,,,,,,2023-08-08 16:28:45.134,2023-08-08 16:28:45.134,
103,103,,,,,,2023-08-08 16:29:28.611,2023-08-08 16:29:28.611,
104,104,,,,,,2023-08-08 16:45:28.733,2023-08-08 16:45:28.733,
105,105,,,,,,2023-08-08 16:53:51.963,2023-08-08 16:53:51.963,
106,106,,,,,,2023-08-08 17:01:44.457,2023-08-08 17:01:44.457,
107,107,,,,,,2023-08-08 17:18:08.269,2023-08-08 17:18:08.269,
108,108,,,,,,2023-08-08 17:21:15.476,2023-08-08 17:21:15.476,
109,109,,,,,,2023-08-08 17:22:31.149,2023-08-08 17:22:31.149,
110,110,,,,,,2023-08-08 17:40:58.034,2023-08-08 17:40:58.034,
111,111,,,,,,2023-08-09 16:34:44.374,2023-08-09 16:34:44.374,
112,112,,,,,,2023-08-09 16:38:42.137,2023-08-09 16:38:42.137,
113,113,,,,,,2023-08-09 16:39:02.516,2023-08-09 16:39:02.516,
114,114,,,,,,2023-08-09 16:40:24.872,2023-08-09 16:40:24.872,
115,115,,,,,,2023-08-09 17:42:09.257,2023-08-09 17:42:09.257,
116,116,,,,,,2023-08-09 18:22:50.843,2023-08-09 18:22:50.843,
117,117,,,,,,2023-08-09 18:28:39.276,2023-08-09 18:28:39.276,
118,118,,,,,,2023-08-09 21:14:01.539,2023-08-09 21:14:01.539,
119,119,,,,,,2023-08-09 22:49:32.270,2023-08-09 22:49:32.270,
120,120,,,,,,2023-08-09 22:50:41.819,2023-08-09 22:50:41.819,
121,121,,,,,,2023-08-14 03:24:31.023,2023-08-14 03:24:31.023,
122,122,,,,,,2023-08-27 01:54:06.480,2023-08-27 01:54:06.480,
123,123,,,,,,2023-08-27 01:59:18.523,2023-08-27 01:59:18.523,
124,124,,,,,,2023-08-27 02:05:20.646,2023-08-27 02:05:20.646,
125,125,,,,,,2023-08-27 02:09:32.803,2023-08-27 02:09:32.803,
126,126,,,,,,2024-01-16 15:35:27.047,2024-01-16 15:35:27.047,
127,127,,,,,,2024-01-18 05:59:49.721,2024-01-18 05:59:49.721,
128,128,,,,,,2024-02-02 21:22:40.170,2024-02-02 21:22:40.170,
129,129,,,,,,2024-03-21 02:22:51.567,2024-03-21 02:22:51.567,
130,130,,,,,,2024-03-21 02:51:39.793,2024-03-21 02:51:39.793,
131,131,,,,,,2024-03-22 04:38:51.342,2024-03-22 04:38:51.342,
132,132,,,,,,2024-04-07 18:48:17.244,2024-04-07 18:48:17.244,
133,133,,,,,,2024-04-07 21:35:10.011,2024-04-07 21:35:10.011,
134,134,,,,,,2024-04-07 21:39:03.204,2024-04-07 21:39:03.204,
135,135,,,,,,2024-04-07 21:42:24.969,2024-04-07 21:42:24.969,
136,136,,,,,,2024-04-14 03:10:07.629,2024-04-14 03:10:07.629,
