id,idea_id,lat,lon,created_at,updated_at,proposal_id
48,,,,2023-06-24 01:41:31.120,2023-06-24 01:41:31.120,
47,,,,2023-06-24 01:35:11.666,2023-06-24 01:35:11.666,
52,,,,2023-06-24 01:58:24.658,2023-06-24 01:58:24.658,
53,,,,2023-06-24 01:59:24.584,2023-06-24 01:59:24.584,
57,,,,2023-06-25 23:02:01.384,2023-06-25 23:02:01.384,
58,,,,2023-06-26 16:33:29.593,2023-06-26 16:33:29.593,
59,,,,2023-06-26 16:43:05.333,2023-06-26 16:43:05.333,
86,,,,2023-07-25 04:40:14.103,2023-07-25 04:40:14.103,
44,,,,2023-06-24 01:14:00.272,2023-06-24 01:14:00.272,
60,,,,2023-06-27 01:11:10.870,2023-06-27 01:11:10.870,
63,,,,2023-07-04 23:20:00.176,2023-07-04 23:20:00.176,
68,,,,2023-07-20 03:29:21.042,2023-07-20 03:29:21.042,
72,,,,2023-07-20 20:41:03.649,2023-07-20 20:41:03.649,
73,,,,2023-07-21 04:39:23.917,2023-07-21 04:39:23.917,
74,,,,2023-07-21 16:33:10.956,2023-07-21 16:33:10.956,
61,,,,2023-06-30 02:04:20.765,2023-06-30 02:04:20.765,
71,,,,2023-07-20 04:33:43.305,2023-07-20 04:33:43.305,
78,,,,2023-07-23 02:44:32.779,2023-07-23 02:44:32.779,
81,,,,2023-07-25 04:10:11.630,2023-07-25 04:10:11.630,
82,,,,2023-07-25 04:13:17.228,2023-07-25 04:13:17.228,
85,,,,2023-07-25 04:37:30.533,2023-07-25 04:37:30.533,
87,,,,2023-08-03 16:26:58.240,2023-08-03 16:26:58.240,
45,,,,2023-06-24 01:29:47.474,2023-06-24 01:29:47.474,
46,,,,2023-06-24 01:33:14.323,2023-06-24 01:33:14.323,
40,,,,2023-06-23 23:54:10.537,2023-06-23 23:54:10.537,
41,,,,2023-06-24 00:03:38.923,2023-06-24 00:03:38.923,
42,,,,2023-06-24 00:07:53.051,2023-06-24 00:07:53.051,
43,,,,2023-06-24 00:09:40.057,2023-06-24 00:09:40.057,
39,,,,2023-06-23 23:51:01.305,2023-06-23 23:51:01.305,
51,,,,2023-06-24 01:51:59.448,2023-06-24 01:51:59.448,
50,,,,2023-06-24 01:50:03.948,2023-06-24 01:50:03.948,
54,,,,2023-06-24 02:01:39.298,2023-06-24 02:01:39.298,
88,,,,2023-08-04 18:34:13.121,2023-08-04 18:34:13.121,
65,,,,2023-07-07 15:34:02.055,2023-07-07 15:34:02.055,
66,,,,2023-07-17 19:15:35.187,2023-07-17 19:15:35.187,
67,,,,2023-07-18 18:19:15.306,2023-07-18 18:19:15.306,
69,,,,2023-07-20 04:29:11.536,2023-07-20 04:29:11.536,
70,,,,2023-07-20 04:31:44.744,2023-07-20 04:31:44.744,
75,,,,2023-07-23 02:29:38.306,2023-07-23 02:29:38.306,
77,,,,2023-07-23 02:35:23.988,2023-07-23 02:35:23.988,
79,,,,2023-07-24 16:37:42.382,2023-07-24 16:37:42.382,
80,,,,2023-07-25 04:07:23.597,2023-07-25 04:07:23.597,
83,,,,2023-07-25 04:18:42.780,2023-07-25 04:18:42.780,
84,,,,2023-07-25 04:20:45.128,2023-07-25 04:20:45.128,
62,,,,2023-06-30 02:07:36.522,2023-06-30 02:07:36.522,
64,,,,2023-07-07 05:11:38.945,2023-07-07 05:11:38.945,
76,,,,2023-07-23 02:32:42.274,2023-07-23 02:32:42.274,
56,,,,2023-06-24 03:45:42.684,2023-06-24 03:45:42.684,
49,,,,2023-06-24 01:49:03.683,2023-06-24 01:49:03.683,
55,,,,2023-06-24 02:04:48.929,2023-06-24 02:04:48.929,
89,89.0,,,2023-08-07 16:26:13.953,2023-08-07 16:26:13.953,
90,90.0,,,2023-08-07 16:42:13.066,2023-08-07 16:42:13.066,
91,91.0,,,2023-08-07 16:44:57.683,2023-08-07 16:44:57.683,
92,92.0,,,2023-08-07 16:52:32.547,2023-08-07 16:52:32.547,
93,93.0,,,2023-08-07 17:53:54.729,2023-08-07 17:53:54.729,
94,94.0,,,2023-08-07 17:56:36.811,2023-08-07 17:56:36.811,
95,95.0,,,2023-08-07 19:32:18.339,2023-08-07 19:32:18.339,
96,96.0,,,2023-08-07 19:33:38.855,2023-08-07 19:33:38.855,
97,97.0,,,2023-08-07 19:37:18.010,2023-08-07 19:37:18.010,
98,98.0,,,2023-08-08 16:23:39.294,2023-08-08 16:23:39.294,
99,99.0,,,2023-08-08 16:24:17.279,2023-08-08 16:24:17.279,
100,100.0,,,2023-08-08 16:26:04.968,2023-08-08 16:26:04.968,
101,101.0,,,2023-08-08 16:28:13.450,2023-08-08 16:28:13.450,
102,102.0,,,2023-08-08 16:28:45.134,2023-08-08 16:28:45.134,
103,103.0,,,2023-08-08 16:29:28.611,2023-08-08 16:29:28.611,
104,104.0,,,2023-08-08 16:45:28.733,2023-08-08 16:45:28.733,
105,105.0,,,2023-08-08 16:53:51.963,2023-08-08 16:53:51.963,
106,106.0,,,2023-08-08 17:01:44.457,2023-08-08 17:01:44.457,
107,107.0,,,2023-08-08 17:18:08.269,2023-08-08 17:18:08.269,
108,108.0,,,2023-08-08 17:21:15.476,2023-08-08 17:21:15.476,
109,109.0,,,2023-08-08 17:22:31.149,2023-08-08 17:22:31.149,
110,110.0,,,2023-08-08 17:40:58.034,2023-08-08 17:40:58.034,
111,111.0,,,2023-08-09 16:34:44.374,2023-08-09 16:34:44.374,
112,112.0,,,2023-08-09 16:38:42.137,2023-08-09 16:38:42.137,
113,113.0,,,2023-08-09 16:39:02.516,2023-08-09 16:39:02.516,
114,114.0,,,2023-08-09 16:40:24.872,2023-08-09 16:40:24.872,
115,115.0,,,2023-08-09 17:42:09.257,2023-08-09 17:42:09.257,
116,116.0,,,2023-08-09 18:22:50.843,2023-08-09 18:22:50.843,
117,117.0,,,2023-08-09 18:28:39.276,2023-08-09 18:28:39.276,
118,118.0,,,2023-08-09 21:14:01.539,2023-08-09 21:14:01.539,
119,119.0,,,2023-08-09 22:49:32.270,2023-08-09 22:49:32.270,
120,120.0,,,2023-08-09 22:50:41.819,2023-08-09 22:50:41.819,
121,121.0,,,2023-08-14 03:24:31.023,2023-08-14 03:24:31.023,
122,122.0,,,2023-08-27 01:54:06.480,2023-08-27 01:54:06.480,
123,123.0,,,2023-08-27 01:59:18.523,2023-08-27 01:59:18.523,
124,124.0,,,2023-08-27 02:05:20.646,2023-08-27 02:05:20.646,
125,125.0,,,2023-08-27 02:09:32.803,2023-08-27 02:09:32.803,
126,126.0,,,2024-01-16 15:35:27.047,2024-01-16 15:35:27.047,
127,127.0,,,2024-01-18 05:59:49.721,2024-01-18 05:59:49.721,
128,128.0,,,2024-02-02 21:22:40.170,2024-02-02 21:22:40.170,
129,129.0,,,2024-03-21 02:22:51.567,2024-03-21 02:22:51.567,
130,130.0,,,2024-03-21 02:51:39.793,2024-03-21 02:51:39.793,
131,131.0,,,2024-03-22 04:38:51.342,2024-03-22 04:38:51.342,
132,132.0,,,2024-04-07 18:48:17.244,2024-04-07 18:48:17.244,
133,133.0,,,2024-04-07 21:35:10.011,2024-04-07 21:35:10.011,
134,134.0,,,2024-04-07 21:39:03.204,2024-04-07 21:39:03.204,
135,135.0,,,2024-04-07 21:42:24.969,2024-04-07 21:42:24.969,
136,136.0,,,2024-04-14 03:10:07.629,2024-04-14 03:10:07.629,
