id,user_id,idea_id,endorsed_at
22,cllr9wikg002qlg06dx97qs8q,93,2024-01-16 15:53:42.650
24,cll12i0mm0014lg06nd1pxls6,94,2024-01-16 15:56:13.843
25,cllr9t2dq002ilg069e31fb5b,92,2024-01-16 15:56:52.299
26,cllr9t2dq002ilg069e31fb5b,94,2024-01-16 15:57:04.532
27,cllr9wikg002qlg06dx97qs8q,121,2024-03-21 02:33:00.330
28,clu0mhxfn000aqs06873lpja7,130,2024-03-21 02:52:24.621
29,clu0tklok0014qs0698vsgdry,91,2024-03-22 04:27:22.010
30,cllr9wikg002qlg06dx97qs8q,97,2024-03-23 21:01:32.532
31,clu4letg9002eqs061d1pfoz1,89,2024-03-23 21:21:41.118
