,Content,Tag,profanity check,profanity check llm
0,Then go to the village pump and suggest they change the language in how a RFC should be set up.,0,Not Profane,Not Profane
1,Dis hoe wasnt dis violent on Lottery Ticket ðŸ˜‚ðŸ˜‚,1,Profane,Not Profane
2,It is better for Atabay not helping the banned vandals pushing their POV.,0,Not Profane,Not Profane
3,"is in CamelCase.  ""SiCKO"" is not CamelCase, so the CamelCase rule R. Baley mentions is inapplicable.  ",0,Not Profane,Not Profane
4,Nonetheless lactose has a hemiacetal group while e.g. sucrose and trehalose don't (they are locked acetals),0,Not Profane,Not Profane
5,Yo bag Gucci but you still ugly hoe shut up,1,Profane,Profane
6,"Thanks
I would have used the ping thanks but it does not include my sentiments that I appreciate the time you took to add this. Much appreciated. |Talk",0,Not Profane,Not Profane
7,I DID SAY THE RIGHT STUFF HOW IS IT INVAILD????????????????????,0,Not Profane,Not Profane
8,"Bias 
This article is pretty biased, with all the talk about how great the diet is and no criticisms.",0,Not Profane,Not Profane
9,"I love my family, but I wouldn't even need water to pop that Red Pill. That hoe is getting taken swiftly.",1,Not Profane,Profane
10,A kitten for you! dose this look like you bastard FUCKER??,1,Profane,Not Profane
11,Can a non-british individual be cabinet minister in the UK government?,0,Not Profane,Not Profane
12,the pen is mightier than the sword,0,Not Profane,Not Profane
13,i love bananas so yeah,0,Not Profane,Not Profane
14,this song seems really banal,0,Not Profane,Not Profane
15,grapes are really yummy,0,Not Profane,Not Profane
